Product,Region,Sales,Profit,Discount,Category,Date
Notebook,Europe,1238.44,424.18,0.05,Technology,27-05-2024
Desk,Europe,3575.85,1127.62,0.09,Office Supplies,08-01-2024
Phone,South America,9070.15,1026.44,0.47,Technology,19-07-2024
Notebook,Europe,2735.88,1409,0.32,Technology,16-09-2023
Pen,Europe,6483.95,251.39,0.26,Furniture,17-10-2024
Printer,Australia,25.19,904.8389,0.33,Furniture,15-04-2024
Phone,South America,3538.64,2436.68,0.22,Office Supplies,12-01-2023
Phone,Australia,3061.72,960.23,0.37,Furniture,26-11-2023
Notebook,Australia,1663.27,2218.3,0.02,Office Supplies,24-12-2023
Chair,South America,5350.21,803.18,0.28,Furniture,12-02-2024
Pen,North America,5020.44,550.24,0.08,Technology,29-10-2024
Notebook,Australia,6930.51,1435.31,0.06,Office Supplies,08-01-2024
Pen,Africa,2708.74,1506.77,0.17,Office Supplies,08-01-2023
Pen,Africa,2456.37,2092.5,0.05,Technology,02-05-2023
Printer,Europe,1699.54,190.56,0.05,Office Supplies,14-12-2023
Phone,Africa,2203.27,997.58,0.16,Office Supplies,06-11-2024
Desk,Europe,5589.86,1216.01,0.49,Furniture,31-03-2023
Printer,North America,4050.28,1805.66,0.09,Office Supplies,09-10-2024
Printer,South America,667.62,-369.19,0.01,Technology,28-11-2024
Pen,South America,2554.08,2483.65,0.38,Furniture,12-11-2023
Monitor,South America,2483.82,909.83,0.4,Furniture,27-06-2023
Phone,Africa,6969.12,338.68,0.17,Technology,23-06-2024
Chair,North America,7128.46,2150.48,0.23,Technology,10-02-2023
Printer,Africa,1497.91,1743.16,0.32,Furniture,04-12-2024
Desk,Africa,9977.45,2359.22,0.02,Office Supplies,16-05-2024
Monitor,North America,2682.47,492.25,0.47,Furniture,25-05-2023
Monitor,North America,9766.62,1158.29,0.44,Technology,20-07-2023
Chair,North America,4122.15,1216.88,0.13,Furniture,24-12-2024
Printer,North America,349.85,2440.99,0.01,Technology,05-04-2024
Desk,South America,3463.81,-273.96,0.47,Furniture,11-07-2024
Phone,Asia,6350.83,417.09,0.25,Office Supplies,30-06-2024
Laptop,Asia,6813.44,72.73,0.27,Furniture,10-09-2023
Desk,North America,5318.73,305.42,0.34,Furniture,25-01-2024
Chair,Asia,4488.88,955.84,0.31,Technology,16-08-2024
Monitor,Asia,5537.87,618.06,0.47,Technology,13-09-2023
Phone,North America,5935.11,684.07,0.47,Technology,09-12-2024
Desk,Asia,826.92,2032.64,0.43,Furniture,25-03-2024
Laptop,Africa,3709.15,2290.05,0.32,Office Supplies,10-01-2023
Laptop,Europe,2436.76,-288.75,0.4,Technology,30-08-2023
Pen,Europe,8035.33,126.76,0.34,Technology,08-09-2023
Pen,North America,4713.6,1513.43,0.29,Furniture,05-01-2023
Notebook,South America,9834.56,575.94,0.06,Technology,29-04-2023
Chair,North America,4000.27,262.49,0.41,Office Supplies,09-01-2024
Printer,South America,8167.99,385.87,0.41,Office Supplies,06-03-2023
Desk,Europe,7987.48,467.65,0.31,Technology,26-05-2023
Desk,North America,1524.16,2046.01,0.41,Technology,12-08-2023
Printer,Australia,5091.82,-90.14,0.33,Furniture,27-08-2023
Notebook,Africa,6964.21,1626.73,0.1,Office Supplies,26-06-2023
Monitor,Asia,8586.42,1158.46,0.14,Office Supplies,09-10-2023
Monitor,South America,3273.07,389.53,0.11,Technology,04-03-2023
Notebook,Australia,2218.01,759.34,0.19,Furniture,05-08-2023
Monitor,Asia,7117.27,268.62,0.02,Office Supplies,19-11-2024
Pen,Asia,8098.82,1334.54,0.31,Office Supplies,05-04-2024
Desk,North America,3499.69,-255.22,0.17,Furniture,01-09-2024
Notebook,Asia,979.84,-484.45,0.33,Furniture,15-04-2023
Desk,Africa,9406.42,1383.68,0.19,Office Supplies,09-04-2023
Printer,Australia,3987.77,82.82,0.34,Office Supplies,25-05-2024
Laptop,Asia,5187.16,-287.18,0.17,Furniture,20-01-2024
Pen,North America,8380.35,690.35,0.13,Office Supplies,09-02-2024
Phone,Africa,6763.39,-347.69,0.25,Technology,01-06-2024
Pen,Europe,7357.46,2159.85,0.35,Technology,20-04-2024
Notebook,Australia,2106.53,-417.15,0.17,Furniture,09-12-2024
Phone,Asia,5423.65,1236.59,0.47,Furniture,06-10-2024
Laptop,North America,6963.93,815.42,0.02,Furniture,12-03-2024
Notebook,Europe,2300.93,1516.08,0.21,Technology,23-01-2023
Chair,Europe,1766.05,484.46,0.48,Office Supplies,18-07-2024
Desk,South America,9822.04,-34.88,0.27,Technology,07-11-2024
Laptop,Africa,5176.03,2445.52,0.21,Office Supplies,14-12-2024
Desk,Asia,2623.08,2016.8,0.28,Technology,02-04-2024
Monitor,North America,9962.61,2081.21,0.29,Office Supplies,24-03-2023
Chair,South America,9654.89,250.75,0.37,Technology,25-05-2023
Chair,Africa,5591.77,-383.5,0.06,Furniture,26-03-2023
Laptop,South America,8828.71,409.8,0.13,Technology,19-03-2023
Chair,Australia,1903.3,1111.25,0.29,Office Supplies,01-04-2024
Phone,Africa,2803.14,479.95,0.43,Technology,01-01-2023
Chair,Africa,7009.57,1983.61,0.28,Technology,20-02-2023
Desk,Asia,8469.68,314.63,0.12,Technology,15-11-2024
Desk,Africa,8566.12,2395.76,0.34,Furniture,17-12-2024
Notebook,South America,4056.99,871.8,0.37,Technology,21-03-2024
Desk,Africa,8879.95,2026.07,0.12,Furniture,24-03-2024
Notebook,Asia,8512.27,83.14,0.19,Furniture,02-05-2024
Desk,Asia,9357.64,734.06,0.27,Technology,03-02-2023
Phone,Australia,7857.7,1598.54,0.25,Technology,14-12-2023
Printer,South America,6696.5,-84.94,0.19,Technology,05-04-2023
Notebook,Europe,5815.25,-101.76,0.15,Office Supplies,13-03-2023
Pen,Europe,3735.38,2408.61,0.05,Technology,04-07-2024
Monitor,Africa,9402.53,1643.79,0.03,Furniture,03-06-2023
Laptop,Australia,9737.17,-376.8,0.48,Technology,07-09-2023
Desk,North America,2853.53,696.46,0.42,Office Supplies,04-11-2024
Chair,Africa,3067.53,800.56,0.18,Technology,13-03-2024
Printer,Australia,4866.43,1732.13,0.48,Office Supplies,28-04-2023
Desk,South America,4495.27,252.58,0.34,Office Supplies,02-11-2023
Chair,South America,9944.69,53,0.24,Technology,25-09-2023
Monitor,South America,1775.73,-257.38,0.25,Furniture,23-02-2023
Monitor,South America,200.39,784.94,0.04,Office Supplies,24-08-2023
Monitor,South America,4949.06,1565.5,0.05,Technology,24-01-2024
Chair,Australia,1804.65,-325.42,0.3,Technology,05-02-2024
Desk,Australia,3677.36,2245.64,0.28,Furniture,15-09-2024
Monitor,Asia,7446.82,827.06,0.11,Office Supplies,30-10-2023
Phone,Europe,7214.98,219.36,0.47,Office Supplies,26-07-2023
